Tract ID,life expectancy
48439111533,79.2
48439111534,77.3
48439111539,78
48439111540,78.3
48439111541,76.4
48439111542,78
48439111543,76.9
48439111544,78.6
48439111545,80.4
48439111546,81.5
48439111547,78.9
48439111548,76.3
48439111549,80.2
48439111551,78.5
48439111552,77.5
48439111553,83.9
48439113001,77.2
48439113002,74.3
48439113102,75.9
48439113104,76.9
48439113107,79.6
48439113108,80.7
48439113110,79
48439113111,75.9
48439113112,78.7
48439113114,78.7
48439113115,75.4
48439113116,77
48439113206,75.8
48439113207,79.5
48439113210,81.6
48439113212,78.7
48439113213,75.7
48439113214,78.1
48439113215,80.8
48439113216,79.1
48439113217,76
48439113218,79.7
48439113220,79
48439113221,81.7
48439113301,76.2
48439113302,76.9
48439113403,80.8
48439113404,76.7
48439113405,75.2
48439113407,77.2
48439113408,73
48439113509,75.7
48439113510,80
48439113511,78.8
48439113512,77.9
48439113513,78.2
48439113514,77.5
48439113516,82.2
48439113517,79.9
48439113519,77.1
48439113607,78
48439113610,79.6
48439113611,80.5
48439113612,83.9
48439113613,79.2
48439113618,78.9
48439113619,78.4
48439113622,81
48439113623,79
48439113624,85.1
48439113625,82.6
48439113626,80.4
48439113627,77.3
48439113629,81.1
48439113630,77.6
48439113631,79.6
48439113632,83
48439113633,80.7
48439113634,80.6
48439113703,78.2
48439113705,77.1
48439113707,81.1
48439113709,83.7
48439113710,81.1
48439113711,79.4
48439113803,77.8
48439113808,77.6
48439113809,78.7
48439113811,77.7
48439113812,78.8
48439113813,80.3
48439113814,80.4
48439113815,84.1
48439113816,79.5
48439113907,82.9
48439113908,82.9
48439113910,81.5
48439113911,81.3
48439113912,82.6
48439113916,73.8
48439113917,79.6
48439113919,80.9
48439113921,80.4
48439113923,81.8
48439113926,81.9
48439113927,79.4
48439113928,79.8
48439113929,82.8
48439114003,78.1
48439114005,77.3
48439114006,75.5
48439114007,78.6
48439114008,81.7
48439114102,80.3
48439114103,79.4
48439114104,79.5
48439114203,73.2
48439114204,76.7
48439114205,72.8
48439114207,78.8
48439121601,79.6
48439121604,73.6
48439121605,72.4
48439121606,80.9
48439121608,80.1
48439121609,80.8
48439121610,77.3
48439121611,76.7
48439121702,75.8
48439121703,76.7
48439121704,75
48439121904,77.4
48439121905,74.7
48439121906,74.7
48439122001,79.1
48439122002,75.3
48439122100,73.5
48439122300,77.3
48439122400,81.2
48439122500,79.2
48439122600,79.3
48439122700,76.9
48439122801,75.4
48439122802,76.2
48439122900,75.4
48439123000,74.6
48439123100,71.3
48439123200,80.4
48439123300,78.3
48439123400,62.8
48439123500,70.1
48439123600,74.4
